feature,coefficient,odds_ratio
categorical__program_code_1_CE_MTCP,-0.11473397021659232,0.8916033053936426
categorical__program_description_CNC Programmer,-0.11473397021659232,0.8916033053936426
categorical__program_code_1_CN_CIST,-0.11915431355585038,0.8876708105532978
categorical__program_code_1_CN_ATHL,-0.12340290345000147,0.8839074614426125
categorical__program_description_Athletics,-0.12340290345000147,0.8839074614426125
categorical__ethnicity_detail_Asian,-0.1273577250330284,0.8804186684608296
categorical__ipeds_ethnicity_White,-0.12991597391277068,0.8781692169437675
categorical__program_code_1_AS_MTMP,-0.13258462852391012,0.8758288108703155
categorical__program_description_Manufactr Tech: CNC Programmer,-0.13258462852391012,0.8758288108703155
categorical__age_category_19 or less,-0.13618240045533236,0.872683440113942
categorical__program_code_1_CT_FSDE,-0.1379512533796502,0.8711411558979957
categorical__program_code_1_AS_HOTL,-0.13842313065649234,0.8707301811540528
categorical__program_description_Hotel Management,-0.13842313065649234,0.8707301811540528
categorical__program_code_1_CN_PEPT,-0.13921379624185326,0.8700419968633484
categorical__program_code_1_AST_FILM,-0.14007153228258074,0.8692960504439898
categorical__program_description_Entertainment Art,-0.14032224612507152,0.869078133209496
categorical__program_code_1_CT_EART,-0.14032224612507152,0.869078133209496
categorical__program_code_1_CE_BAEN,-0.14418258089574354,0.8657296679301959
categorical__program_description_Entrepreneurship,-0.14418258089574354,0.8657296679301959
categorical__program_description_Plumbing,-0.14427318193868455,0.8656512354724614
categorical__program_code_1_CE_CNPL,-0.14427318193868455,0.8656512354724614
categorical__program_code_1_AS_WELD,-0.14934988450982084,0.8612677179416531
categorical__program_code_1_CT_CAIL,-0.152354141242506,0.8586841314231711
categorical__program_description_Comm Art:Narrativ Illustration,-0.152354141242506,0.8586841314231711
categorical__program_code_1_CE_EMS,-0.1524624330023762,0.8585911480421646
categorical__program_description_Emergency Medical Services,-0.1524624330023762,0.8585911480421646
categorical__program_code_1_AA_MUS,-0.15313398363185776,0.858014754176723
categorical__program_code_1_AA_MIDI,-0.15418342190108383,0.8571147929675917
categorical__program_code_1_AA_FLNG,-0.154210242024983,0.8570918053509152
categorical__program_description_Foreign Languages,-0.154210242024983,0.8570918053509152
categorical__program_code_1_CE_CTRE,-0.1600598750102415,0.8520927683755642
categorical__program_description_Constr Tech: Residential Elect,-0.1600598750102415,0.8520927683755642
categorical__program_code_1_CN_ARCD,-0.16041267995228825,0.8517921988601219
categorical__program_code_1_CE_DATA,-0.1648764121012731,0.8479984999647655
categorical__program_description_Accounting Data Analytics,-0.1648764121012731,0.8479984999647655
categorical__program_code_1_AS_MTMO,-0.17172841893563098,0.8422078698219602
categorical__program_description_Manufactr Tech: CNC Operator,-0.17172841893563098,0.8422078698219602
categorical__program_description_Marketing: Sales,-0.1747743639008446,0.8396464539474603
categorical__program_code_1_CE_MKSL,-0.1747743639008446,0.8396464539474603
categorical__program_code_1_CT_HMHR,-0.1757110560599236,0.8388603319322913
categorical__program_description_Chemistry,-0.17769864289564158,0.8371946800417684
categorical__program_code_1_AS_CHEM,-0.17769864289564158,0.8371946800417684
categorical__program_description_Neurodiagnostic Technology,-0.18340538253446728,0.8324306344887263
categorical__program_code_1_AS_NDT,-0.18340538253446728,0.8324306344887263
categorical__program_code_1_AS_RADT,-0.18360653122719225,0.8322632089940889
categorical__program_description_Radiologic Tech: Diagnostic,-0.18360653122719225,0.8322632089940889
categorical__gender_M,-0.1932087691942089,0.8243098656678259
categorical__program_description_Res Const Developm First Award,-0.1947640857448964,0.8230287993808997
categorical__program_code_1_AS_CTRS,-0.1947640857448964,0.8230287993808997
categorical__program_description_Dance,-0.195634159783609,0.8223130148273801
categorical__program_code_1_AA_DANC,-0.195634159783609,0.8223130148273801
categorical__program_description_Arch Tech: Digital Fabrication,-0.20125364995380374,0.8177049944127031
categorical__program_code_1_CM_ATDF,-0.20125364995380374,0.8177049944127031
categorical__program_code_1_CT_UXDS,-0.20156776897220585,0.8174481780600776
categorical__gender_B,-0.20996406403538045,0.8106133756203694
categorical__program_code_1_AA_RLST,-0.21192674514839333,0.8090239603259909
categorical__program_description_Religious Studies,-0.21192674514839333,0.8090239603259909
categorical__program_description_Baking & Pastry - Basic,-0.21544504076584142,0.8061825762175764
categorical__program_code_1_CE_CABP,-0.21544504076584142,0.8061825762175764
categorical__program_code_1_CN_CTBP,-0.21645172898891002,0.8053714100766599
categorical__program_code_1_CE_CSNT,-0.21758150699148054,0.8044620329675104
